ID,skill,rating,change,played,wins,avg_queue,activity
51001,7776,3810,26,15,13,5.071429,1.740610
70979,5566,3810,62,18,15,6.444444,3.330657
5860,10434,3809,-17,14,12,1.583333,2.057159
47499,6262,3809,49,11,10,1.200000,1.167171
81725,6575,3809,73,13,12,1.846154,1.934306
80736,6737,3808,0,6,6,1.500000,1.240607
45043,1397,3808,-24,13,9,5.000000,1.726396
74952,2115,3808,0,8,7,0.625000,2.176291
83586,5227,3807,47,15,13,3.466667,1.120515
26048,6117,3805,63,19,14,3.157895,3.087754
97735,9243,3804,134,13,12,0.538462,1.381418
94898,5641,3804,38,19,15,1.875000,3.002611
62555,6115,3803,-65,18,13,4.600000,1.745160
86049,4499,3803,31,14,12,3.857143,2.264154
61665,2414,3803,-11,12,10,0.727273,1.295684
41274,8185,3803,19,26,19,5.115385,4.687250
30357,6140,3802,0,9,9,0.875000,1.816053
27881,1673,3802,-18,13,9,3.000000,1.833270
45089,4397,3802,0,6,6,2.000000,0.979344
49655,-765,3802,0,8,7,0.800000,0.954600
87147,4667,3802,0,10,9,1.000000,1.446396
38893,1248,3801,-13,14,11,2.642857,3.355109
51086,9481,3800,526,35,29,4.371429,5.509117
11295,1945,3800,58,13,12,2.923077,1.523731
28071,4622,3799,-81,18,10,8.111111,2.594338
23333,6026,3799,-33,11,9,2.363636,1.360772
11152,2336,3799,69,26,18,4.160000,3.670561
40009,8104,3799,75,21,17,4.952381,3.373336
48174,6652,3798,218,19,14,1.888889,2.754480
12529,5449,3796,0,6,6,0.400000,0.644814
23315,3506,3796,0,8,8,1.000000,2.118503
90927,4698,3796,0,8,8,1.142857,1.151122
46818,8266,3796,0,10,9,0.700000,1.989111
32554,8888,3796,24,31,22,1.966667,4.627489
95260,6572,3795,-73,12,9,4.272727,1.130647
62283,8614,3794,-44,18,15,3.888889,2.052202
45624,5690,3794,16,18,13,3.055556,3.366670
65354,1506,3793,-147,17,11,5.375000,3.517515
43752,1991,3792,-46,16,11,1.062500,1.890746
27782,6804,3791,103,23,17,2.142857,3.159573
76758,6490,3791,-59,18,13,3.294118,2.599529
49949,5823,3791,-23,11,9,0.875000,1.533081
81363,8093,3789,107,17,14,1.294118,3.496182
59586,8425,3789,83,23,18,4.173913,3.390552
88532,-427,3789,-1,12,10,2.500000,2.160130
