ID,skill,rating,change,played,wins,avg_queue,activity
82327,7889,3652,0,7,7,0.200000,1.665577
20378,2030,3652,0,8,8,1.200000,1.521394
17098,10198,3652,0,7,6,1.333333,2.797781
9928,4027,3652,0,10,9,1.222222,2.133192
21956,6860,3651,5,13,9,3.076923,3.755588
30644,7625,3649,51,12,10,0.142857,2.681421
99994,3415,3648,-82,15,10,5.000000,6.832865
7523,267,3647,-23,11,8,0.800000,2.545636
39710,6703,3646,18,11,10,3.500000,3.905912
24691,751,3646,0,10,8,1.100000,3.199838
71002,442,3646,0,8,7,4.875000,2.412773
72411,4566,3646,0,9,6,1.888889,3.618740
509,5671,3646,102,13,10,3.307692,2.791971
89443,6909,3646,0,8,8,1.333333,1.540572
85546,4602,3646,30,11,10,0.111111,2.649589
62015,1912,3645,-19,14,11,4.153846,3.751594
29706,3194,3643,15,11,10,4.818182,2.268448
96755,5559,3643,-21,11,8,1.400000,3.379865
18241,9023,3641,37,17,13,2.187500,5.243522
93102,8197,3640,0,8,7,3.250000,1.855507
6106,2481,3640,0,10,7,3.142857,2.719669
88770,4468,3640,0,10,9,0.222222,1.896659
56298,4893,3640,0,8,7,1.875000,2.211822
20928,-195,3640,18,11,9,0.000000,2.377356
49575,2922,3640,0,8,6,2.250000,3.285436
12951,84,3640,0,7,7,0.285714,2.592949
77520,3978,3640,0,10,9,1.714286,3.892318
54122,5037,3639,-13,12,10,0.416667,4.495524
56857,3635,3638,-26,11,8,2.909091,2.637365
39196,5378,3637,-129,14,8,6.071429,4.094161
39257,3175,3636,-40,14,9,1.785714,4.960749
75197,5679,3634,-12,15,11,1.571429,4.719683
77923,6642,3634,0,7,7,2.428571,1.717049
8533,3628,3634,0,8,8,0.571429,1.713473
9368,5243,3634,0,7,6,0.400000,0.980409
34931,1642,3633,-31,11,7,2.545455,3.142850
9209,2138,3632,-14,14,11,4.307692,1.996365
83425,2097,3629,-23,11,8,0.700000,1.753128
16502,4631,3628,0,8,7,3.000000,2.056321
58430,8906,3628,0,6,6,2.166667,1.222098
15107,6441,3628,54,12,10,0.636364,3.156871
82916,5301,3628,0,9,8,0.428571,1.766963
6220,-1219,3628,0,7,7,1.666667,1.589563
57817,4096,3628,0,7,6,2.571429,1.464118
15119,5537,3628,0,10,9,1.100000,4.316111
38942,7391,3627,125,16,14,2.562500,7.306274
15003,5636,3625,57,13,10,0.916667,2.363258
72002,1631,3623,73,14,11,4.083333,3.924584
81428,4483,3622,18,11,10,2.700000,3.630006
54338,3405,3622,0,8,7,1.750000,1.606973
93712,8821,3622,0,7,7,1.428571,1.563420
6417,4764,3622,0,10,8,1.000000,1.656552
99808,5045,3622,0,8,7,0.000000,2.405675
39998,2370,3622,0,10,8,2.222222,1.787567
37739,3310,3622,0,9,8,1.333333,2.669922
39108,8606,3618,-52,15,11,0.833333,5.423216
76387,6959,3618,62,19,15,4.882353,4.795770
51628,4871,3617,115,13,11,2.153846,2.099514
66031,8004,3617,-65,16,12,6.800000,1.959627
63570,3841,3616,0,7,7,1.428571,2.422219
30944,6287,3616,0,7,6,1.285714,2.533008
22552,4086,3616,0,8,8,0.857143,1.803175
380,6292,3616,0,7,7,2.142857,2.612139
48457,2945,3616,0,8,7,2.000000,2.783174
53077,5802,3616,0,8,8,0.500000,2.013686
26313,1941,3616,0,9,8,1.111111,4.030955
3730,7574,3615,-25,11,9,1.200000,2.863440
98400,2865,3614,34,11,9,2.363636,2.519055
73321,4765,3612,38,15,13,1.785714,4.907432
14424,9667,3612,-88,12,9,5.090909,4.716674
80134,4494,3611,31,11,9,2.111111,2.424988
91283,5408,3611,-89,13,8,4.666667,2.838493
95260,6572,3610,0,8,7,1.875000,1.130647
12092,3776,3569,37,15,11,1.615385,1.924320
43159,4246,3610,18,12,9,1.916667,2.629380
85598,4483,3608,-92,17,11,5.000000,3.152990
49096,6857,3608,-50,18,14,4.764706,4.027712
81809,6496,3607,309,19,15,2.263158,4.774520
90349,2920,3605,-11,14,10,3.571429,1.859441
48174,6652,3604,0,8,7,0.000000,2.754480
40616,5366,3604,0,7,7,0.571429,1.928688
76228,910,3604,0,9,8,0.375000,1.291092
42181,-2301,3604,0,9,8,0.625000,3.227035
32251,2781,3604,0,7,7,1.200000,2.487520
95331,4417,3604,0,10,8,0.666667,4.286993
7492,3319,3603,59,12,10,3.545455,2.415586
60421,4824,3598,0,9,7,1.375000,1.954773
70840,3585,3598,0,10,8,0.900000,3.208251
14462,3019,3598,0,9,8,0.875000,3.279386
32487,2828,3598,0,9,8,0.625000,2.268902
37989,4574,3598,0,10,7,1.000000,1.046918
35175,4767,3598,0,8,7,5.375000,3.444557
52260,4365,3598,0,9,6,0.666667,1.838182
89638,2348,3598,0,7,6,1.000000,2.824274
35882,473,3598,0,10,9,0.500000,2.257885
35285,3724,3597,41,11,9,0.545455,2.999399
38619,2360,3595,-33,11,9,2.000000,3.765204
74651,-273,3595,-57,12,9,4.636364,2.537411
44677,3492,3594,-88,16,11,5.733333,5.143503
40757,2766,3594,32,13,10,1.454545,4.340513
17302,7189,3592,0,8,7,1.125000,2.331249
12169,6330,3592,0,7,7,0.333333,1.718490
96082,4455,3592,0,8,8,0.000000,1.477683
7206,10062,3592,0,9,8,0.444444,2.797370
91927,2329,3592,24,13,10,0.900000,2.527523
90985,4290,3592,0,5,5,1.250000,1.339141
7247,7996,3592,0,7,7,0.857143,1.706318
17138,3741,3592,0,10,8,0.375000,4.035898
51001,7776,3592,0,7,7,0.833333,1.740610
31016,7169,3592,0,7,7,1.428571,1.151535
70951,4384,3590,-14,12,10,0.900000,2.639951
89856,7453,3589,3,12,9,2.666667,3.320235
82665,6923,3589,-3,16,12,3.466667,3.491749
47394,2278,3588,-76,17,11,3.705882,5.205099
43377,3273,3586,0,9,8,0.444444,1.568344
54218,2810,3586,0,8,7,1.625000,1.595230
